tag_id,r_id,time,row_id
045*124*561,5,17/04/17 00:21,3825034
840*122*030,5,17/04/17 00:21,3825035
045*124*561,5,17/04/17 00:21,3825036
045*124*561,5,17/04/17 00:21,3825037
034*330*827,2,17/04/17 00:21,3825038
840*122*030,5,17/04/17 00:21,3825039
045*124*561,5,17/04/17 00:21,3825040
034*330*827,2,17/04/17 00:21,3825041
840*122*030,5,17/04/17 00:21,3825042
034*330*827,2,17/04/17 00:21,3825043
045*124*561,5,17/04/17 00:21,3825044
840*122*030,5,17/04/17 00:21,3825045
045*124*561,5,17/04/17 00:21,3825046
034*330*827,2,17/04/17 00:21,3825047
034*330*827,2,17/04/17 00:21,3825048
045*124*561,5,17/04/17 00:21,3825049
045*124*561,5,17/04/17 00:21,3825050
034*330*827,2,17/04/17 00:21,3825051
045*124*561,5,17/04/17 00:21,3825052
045*124*561,5,17/04/17 00:21,3825053
034*330*827,2,17/04/17 00:21,3825054
045*124*561,5,17/04/17 00:21,3825055
045*124*561,5,17/04/17 00:21,3825056
034*330*827,2,17/04/17 00:21,3825057
045*124*561,5,17/04/17 00:21,3825058
034*330*827,2,17/04/17 00:22,3825059
045*124*561,5,17/04/17 00:22,3825060
045*124*561,5,17/04/17 00:22,3825061
045*124*561,5,17/04/17 00:22,3825062
045*124*561,5,17/04/17 00:22,3825063
045*124*561,5,17/04/17 00:22,3825064
840*122*030,5,17/04/17 00:22,3825065
045*124*561,5,17/04/17 00:22,3825066
037*099*377,5,17/04/17 00:22,3825067
840*122*030,5,17/04/17 00:22,3825068
045*124*561,5,17/04/17 00:22,3825069
840*122*030,5,17/04/17 00:22,3825070
045*124*561,5,17/04/17 00:22,3825071
034*330*827,2,17/04/17 00:22,3825072
840*122*030,5,17/04/17 00:22,3825073
045*124*561,5,17/04/17 00:22,3825074
037*099*377,5,17/04/17 00:22,3825075
840*122*030,5,17/04/17 00:22,3825076
034*330*827,2,17/04/17 00:22,3825077
037*099*377,5,17/04/17 00:22,3825078
045*124*561,5,17/04/17 00:22,3825079
